Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross
Snow White and the Seven Dwarfs,21/12/1937,Musical,G,184925485,5228953251
Pinocchio,09/02/1940,Adventure,G,84300000,2188229052
Fantasia,13/11/1940,Musical,G,83320000,2187090808
Song of the South,12/11/1946,Adventure,G,65000000,1078510579
Cinderella,15/02/1950,Drama,G,85000000,920608730
"20,000 Leagues Under the Sea",23/12/1954,Adventure,Unknown,28200000,528279994
Lady and the Tramp,22/06/1955,Drama,G,93600000,1236035515
Sleeping Beauty,29/01/1959,Drama,Unknown,9464608,21505832
101 Dalmatians,25/01/1961,Comedy,G,153000000,1362870985
The Absent Minded Professor,16/03/1961,Comedy,Unknown,25381407,310094574
Babes in Toyland,14/12/1961,Musical,G,10218316,124841160
Bon Voyage!,17/05/1962,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,25/12/1963,Adventure,Unknown,22182353,153870834
The Jungle Book,18/10/1967,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,08/02/1968,Comedy,Unknown,21540050,138612686
The Aristocats,24/04/1970,Musical,G,55675257,255161499
The Boatniks,01/07/1970,Comedy,Unknown,18607492,101200742
Bedknobs and Broomsticks,07/10/1971,Musical,Unknown,17871174,91305448
The Apple Dumpling Gang,01/07/1975,Comedy,Unknown,31916500,131246872
Freaky Friday,21/01/1977,Comedy,Unknown,25942000,98067733
The Many Adventures of Winnie the Pooh,11/03/1977,Unknown,Unknown,0,0
The Rescuers,22/06/1977,Adventure,Unknown,48775599,159743914
Herbie Goes to Monte Carlo,24/06/1977,Unknown,Unknown,28000000,105847527
The Black Hole,21/12/1979,Unknown,Unknown,35841901,120377374
Midnight Madness,08/02/1980,Unknown,Unknown,2900000,9088096
The Last Flight of Noah's Ark,25/06/1980,Unknown,Unknown,11000000,34472116
The Devil and Max Devlin,01/01/1981,Unknown,Unknown,16000000,48517980
Amy,20/03/1981,Drama,Unknown,0,0
The Fox and the Hound,10/07/1981,Comedy,Unknown,43899231,133118889
Condorman,07/08/1981,Action,Unknown,0,0
Night Crossing,05/02/1982,Drama,Unknown,4500000,12903059
Tron,09/07/1982,Action,Unknown,26918576,77184895
Tex,19/11/1982,Drama,Unknown,7199408,20643199
Trenchcoat,11/03/1983,Comedy,Unknown,4304286,11519089
Something Wicked This Way Comes,29/04/1983,Horror,Unknown,5656087,15136765
